Ticket ID,Customer Name,Product Purchased,Ticket Type,Ticket Subject,Ticket Description,Customer Satisfaction Rating
348,Customer,AirAsiaSupport,Support inquiry,@AirAsiaSupport thank you very much..,"CONVERSATION HISTORY:
Customer: Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :)
Customer: @AirAsiaSupport lost my booking # chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__
Agent: @115797 Sorry as we checked booking has already expired due to no payment made. Kindly please proceed with new booking - Ed
Customer: @AirAsiaSupport hi!  I have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line.
Agent: @115797 Hi Loreen,kindly DM us your booking number and attach guest passport copy, we'll fix it for you, see you there!- Anwar
Customer: @AirAsiaSupport Hi! I have DM u my booking # and passport picture thanks so much for quick action
Agent: @115797 Hi Loreen,correction done! :) See you on board! Cheers!- Anwar

CURRENT MESSAGE:
@AirAsiaSupport thank you very much..",
367,Customer,AirAsiaSupport,Support inquiry,"@AirAsiaSupport Hi Yana, followed!","CONVERSATION HISTORY:
Customer: @AirAsiaSupport CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs.
Agent: @115799 We have replied to you via DM. Check it out =) Yana
Customer: @AirAsiaSupport Hi Yana I don’t have any DMs from you. Did you mean email?
Agent: @115799 Hi Emma, Could you please follow us so we can DM you again with the email reply sent to you  =) Yana

CURRENT MESSAGE:
@AirAsiaSupport Hi Yana, followed!",
378,Customer,Morrisons,Support inquiry,"@Morrisons Aww, Sophie deserved winner 👏😄","CONVERSATION HISTORY:
Customer: Fresh cream palmier @Morrisons bakery Bellshill gets my vote for #star baker 👨‍🍳😘😋💗just catching up on #gbbo17 don’t know who won yet 😄
Agent: @115803 Please don't tell me Carol!! I can't wait to go home &amp; find out!! - Chloe
Customer: @Morrisons My lips are sealed 😋
Agent: @115803 Somebody else has told me!! I'm gutted :( - Chloe
Customer: @Morrisons Aahhrrgh! Keep mum, I’m still watching 😄
Agent: @115803 Don't you worry Carol, my lips are shut!! - Chloe

CURRENT MESSAGE:
@Morrisons Aww, Sophie deserved winner 👏😄",
385,Customer,Morrisons,Support inquiry,"@Morrisons That's pointless as it's every day, all the time.","CONVERSATION HISTORY:
Customer: @Morrisons so fed up of this very familiar sight at Houghton Regis. Get more staff &amp; stock the place properly. This is just a small example https://t.co/CummsXx7jc
Agent: @115804 Hi there, sorry about that. Please DM me when you visited the store and I'll look into this. Thanks - Kirsty

CURRENT MESSAGE:
@Morrisons That's pointless as it's every day, all the time. No matter when I go in. I speak 2the management who r as fed up as I am. They've no staff.",
395,Customer,NikeSupport,Support inquiry,@NikeSupport Thank you nike,"CONVERSATION HISTORY:
Customer: @NikeSupport I'm new to nike+ run club app,  should i start with guided runs or my couch?
Agent: @115806 While the Coach plans can be weeks in time. It's up to you to decide what fits you best. (2/2)

CURRENT MESSAGE:
@NikeSupport Thank you nike",
406,Customer,AskAmex,Support inquiry,@AskAmex Sure. Please drop me a message now.,"CONVERSATION HISTORY:
Customer: @AskAmex Thought Amex values their customers. But boy you got really bad reps on the customer service.
Agent: @115807 Hi there, I am so sorry to her that. what exactly is the issue you are having?
Customer: @AskAmex Nope. They weren’t ready to listen what I wanted to say and if I had any questions about anything else and hung up on me.
Agent: @115807 I am so sorry to hear that. Which U.S. based card do you have? Pls do not share any personal info.
Customer: @AskAmex Amex Platinum and Amex everyday card.
Agent: @115807 What exactly is the issue you are having?
Customer: @AskAmex I’ve asked your sales rep about the payments and she wasn’t ready to listen to any issues that I had.
Agent: @115807 Apologies for all of the issues. If you have time to chat securely with me, I would be happy to review. ^Rachel

CURRENT MESSAGE:
@AskAmex Sure. Please drop me a message now.",
617,Customer,AmazonHelp,Support inquiry,@AmazonHelp I frankly don't have the patience for another ch,"CONVERSATION HISTORY:
Customer: Way to drop the ball on customer service @115821 so pissed right now!
Agent: @115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN
Customer: @AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day
Agent: @115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG

CURRENT MESSAGE:
@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today.",
624,Customer,AmazonHelp,Support inquiry,"@AmazonHelp Okay, danke für die Info","CONVERSATION HISTORY:
Customer: @115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?
Agent: @115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS

CURRENT MESSAGE:
@AmazonHelp Okay, danke für die Info",
630,Customer,AmazonHelp,Support inquiry,@AmazonHelp @115826 Yeah this is crazy we’re less than a wee,"CONVERSATION HISTORY:
Customer: PLAYERUNKNOWN'S BATTLEGROUNDS is now available for preorder on Xbox One consoles - https://t.co/bqLHcBDqAb https://t.co/muLIqeHq0o
Customer: @115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away
Agent: @115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ

CURRENT MESSAGE:
@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August",
643,Customer,AmazonHelp,Support inquiry,@AmazonHelp Hi ready for some help,"CONVERSATION HISTORY:
Customer: Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?
Agent: @115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG
Customer: @AmazonHelp Nothing there helped me with the Echo Show
Customer: @AmazonHelp Is the Echo Show no longer supported?
Agent: @115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW

CURRENT MESSAGE:
@AmazonHelp Hi ready for some help",
646,Customer,AmazonHelp,Support inquiry,@AmazonHelp That page is useless - doesn’t allow me to state,"CONVERSATION HISTORY:
Customer: .@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk
Agent: @115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY

CURRENT MESSAGE:
@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?",
652,Customer,AmazonHelp,Support inquiry,@AmazonHelp Already started the return. UPS gets it from my ,"CONVERSATION HISTORY:
Customer: @AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.
Agent: @115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH
Customer: @AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?
Agent: @115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL

CURRENT MESSAGE:
@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645",
659,Customer,AmazonHelp,Support inquiry,"@AmazonHelp Already handled, just venting. It was a pretty b","CONVERSATION HISTORY:
Customer: @115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q
Agent: @115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS

CURRENT MESSAGE:
@AmazonHelp Already handled, just venting. It was a pretty big bummer.",
672,Customer,AmazonHelp,Support inquiry,@AmazonHelp I just said it's been sorted! I've been refunded,"CONVERSATION HISTORY:
Customer: I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!
Customer: @115844 WHAT IN THE WORLD?!
Customer: @115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!
Agent: @115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR

CURRENT MESSAGE:
@AmazonHelp I just said it's been sorted! I've been refunded! I'm just not impressed with the service any more.",
690,Customer,AmazonHelp,Support inquiry,@AmazonHelp Details sent. Please check.,"CONVERSATION HISTORY:
Customer: @115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.
Agent: @115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD
Customer: @AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!
Agent: @115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD

CURRENT MESSAGE:
@AmazonHelp Details sent. Please check.",
700,Customer,AppleSupport,Support inquiry,@AppleSupport The newest update. I️ made sure to download it,"CONVERSATION HISTORY:
Customer: @AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE
Customer: @AppleSupport  https://t.co/NV0yucs0lB
Agent: @115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.

CURRENT MESSAGE:
@AppleSupport The newest update. I️ made sure to download it yesterday.",
711,Customer,AppleSupport,Support inquiry,@AppleSupport Tried resetting my settings .. restarting my p,"CONVERSATION HISTORY:
Customer: What is up with this “ I️ “
Customer: Why are my I’s question marks ?
Customer: @AppleSupport I️ need answers because it’s annoying 🙃
Agent: @115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?
Customer: @AppleSupport I️ have an iPhone 7 Plus and yes I️ do
Agent: @115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?
Customer: @AppleSupport This is what it looks like https://t.co/XCQU2l4xUB
Agent: @115855 Any steps tried since it started last night?

CURRENT MESSAGE:
@AppleSupport Tried resetting my settings .. restarting my phone .. all that",
719,Customer,AppleSupport,Support inquiry,@AppleSupport This is what is happening... https://t.co/X3SZ,"CONVERSATION HISTORY:
Customer: Tf is wrong with my keyboard @115858
Agent: @115857 Fill us in on what is happening, then we can help out from there.

CURRENT MESSAGE:
@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT",
723,Customer,AppleSupport,Support inquiry,@AppleSupport are the call centres closed for the night?,"CONVERSATION HISTORY:
Customer: @115858 @AppleSupport hello are all the lines closed for tonight #help
Agent: @115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT

CURRENT MESSAGE:
@AppleSupport are the call centres closed for the night?",
730,Customer,AppleSupport,Support inquiry,@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.,"CONVERSATION HISTORY:
Customer: Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7
Agent: @115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT
Customer: @AppleSupport @115861 We’re going to need you to share the answers Angela. I️ can’t stand this!
Customer: @115862 @AppleSupport I will!

CURRENT MESSAGE:
@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.",
736,Customer,AppleSupport,Support inquiry,@AppleSupport I have the iPhone 6s Plus and just did the mos,"CONVERSATION HISTORY:
Customer: Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤
Agent: @115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?

CURRENT MESSAGE:
@AppleSupport I have the iPhone 6s Plus and just did the most recent update.",
747,Customer,AppleSupport,Support inquiry,@AppleSupport Okey. Thank you! 🤗,"CONVERSATION HISTORY:
Customer: Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️
Agent: @115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
Customer: @AppleSupport I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport
Agent: @115865 Hi there! What type of device are we working with?
Customer: @AppleSupport iPhone 7 Plus 😊
Agent: @115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?
Customer: @AppleSupport iOS 11.0.3
Agent: @115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update.

CURRENT MESSAGE:
@AppleSupport Okey. Thank you! 🤗",
756,Customer,AppleSupport,Support inquiry,"@AppleSupport Yes it did, 11.0.3","CONVERSATION HISTORY:
Customer: MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport
Agent: @115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?

CURRENT MESSAGE:
@AppleSupport Yes it did, 11.0.3",
765,Customer,AppleSupport,Support inquiry,@AppleSupport I can not find an option to get it there. It w,"CONVERSATION HISTORY:
Customer: After update #ios1103 no spotify on my lock screen?@AppleSupport
Agent: @115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?
Customer: @AppleSupport The app is still there. But no longer able to control it from the lockscreen.
Agent: @115870 Just to confirm, this is only happening with Spotify, correct?

CURRENT MESSAGE:
@AppleSupport I can not find an option to get it there. It was just always there when playing.",
782,Customer,Uber_Support,Support inquiry,@Uber_Support @115879 wouldn't do this to me 😔,"CONVERSATION HISTORY:
Customer: Literally stranded because of @115873 and because there is no support phone number I have to wait from a message from @Uber_Support Smh 🤦🏾‍♂️
Agent: @115878 We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?
Customer: @Uber_Support Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous
Agent: @115878 We have received your DM and will follow up with you there.

CURRENT MESSAGE:
@Uber_Support @115879 wouldn't do this to me 😔",
789,Customer,Tesco,Support inquiry,"@Tesco Tall lady 6ft, slim, was on the till about 15:10, thi","CONVERSATION HISTORY:
Customer: @Tesco 3/3 on the wrong which I really don’t appreciate. This needs to be investigate and I was simply queuing to pay and the guy pushed in😡
Agent: @115881 Hi Cade, what was my colleagues name? Can you give a description? When were you in our store? - Nick

CURRENT MESSAGE:
@Tesco Tall lady 6ft, slim, was on the till about 15:10, think she had blonde hair. She served the guy after knowing he didn’t queue up like others",
792,Customer,Delta,Support inquiry,@Delta I checked daily and flight 1403 was never offered as ,"CONVERSATION HISTORY:
Customer: @Delta why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning.
Agent: @115882 I'm sorry. The earlier flight may not have been available at the time of your scheduled change. *TMT

CURRENT MESSAGE:
@Delta I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip.",
801,Customer,Delta,Support inquiry,@Delta Just DM'd you with a screenshot and explanation.  😊,"CONVERSATION HISTORY:
Customer: @Delta The ""change flight"" search option on your website is broken once again.  😑
Agent: @115883 I sincerely apologize, our IT team is diligently working on it, we should have it up and working very soon.  *TMC
Customer: @Delta It seems this technical issue still hasn't Ben fixed.   Can you look into it again?  🙆🏼‍♂️
Agent: @115883 Please share additional details about the nature of this technical issue.  *AFC
Customer: @Delta Via DM?
Agent: @115883 Please do.  *AFC https://t.co/6iDGBJAc2m

CURRENT MESSAGE:
@Delta Just DM'd you with a screenshot and explanation.  😊",
814,Customer,Delta,Support inquiry,@Delta Is that not what I’ve done already?,"CONVERSATION HISTORY:
Customer: @Delta I'm flying JFK-MEX-MID tomorrow and you say I'm booked in, but it looks like it's just the first leg. Can you check, please?
Agent: @115885 Hi, Richard. Can you pls DM your confirmation number so I may look into this matter for you? Thanks! *TJF https://t.co/6iDGBJAc2m
Customer: @Delta Hi - and thanks. Think I just figured this out. Would it be you’re not running the MEX-MID flight so I need to check in via AeroMexico?
Customer: @Delta Actually, I just looked again and they disagree and say it's on you. Any idea what I should do? https://t.co/twIogKd3Kx
Agent: @115885 Hello, Richard! Please DM your confirmation# and I will try to assist. *TCC
Customer: @Delta I did this some time ago now but haven’t heard from you...
Agent: @115885 2/2 https://t.co/6iDGBJAc2m

CURRENT MESSAGE:
@Delta Is that not what I’ve done already?",
